,dv,heat,year,region,country,rain,region_id
286,17.01,0.0833333333333333,2018,3,MLI,0.0254411745549003,MLI_3
287,22.87,0.0,2018,4,MLI,-0.0326297226193996,MLI_4
291,20.36,0.166666666666667,2018,9,MLI,-0.116233289594585,MLI_9
303,14.63,0.1666667,2004,1,MWI,-0.01445652,MWI_1
304,17.34,0.08333333,2004,2,MWI,0.1536573,MWI_2
305,16.56,0.0,2004,3,MWI,0.3831623,MWI_3
306,17.95,0.25,2010,1,MWI,0.1054756,MWI_1
307,12.98,0.25,2010,2,MWI,0.1120328,MWI_2
308,14.45,0.1666667,2010,3,MWI,-0.2223606,MWI_3
309,19.66,0.08333333,2015,1,MWI,-0.726257,MWI_1
310,14.59,0.1666667,2015,2,MWI,-0.4086435,MWI_2
311,16.71,0.1666667,2015,3,MWI,-0.4687817,MWI_3
325,19.99,0.0,2008,1,NGA,-0.2609603,NGA_1
326,14.6,0.0,2008,2,NGA,-0.1665594,NGA_2
327,6.42,0.0,2008,3,NGA,-0.2696624,NGA_3
328,15.63,0.0,2008,4,NGA,-0.1803446,NGA_4
329,23.85,0.0,2008,5,NGA,-0.06840548,NGA_5
330,15.13,0.0,2008,6,NGA,0.1471591,NGA_6
331,14.03,0.08333333,2013,1,NGA,-0.1005866,NGA_1
332,13.0,0.08333333,2013,2,NGA,0.6207292,NGA_2
333,3.31,0.08333333,2013,3,NGA,0.7566798,NGA_3
334,14.15,0.0,2013,4,NGA,-0.1576906,NGA_4
