dv,heat,year,region,country,rain,region_id
7.6,0.0,2007,13,PER,-0.2759934,PER_13
8.17,0.0,2007,14,PER,0.124053,PER_14
7.4,0.0,2007,15,PER,-0.8753293,PER_15
13.39,0.0,2007,16,PER,1.822265,PER_16
17.42,0.0,2007,17,PER,-0.1736882,PER_17
10.38,0.0,2007,18,PER,-0.5890428,PER_18
9.62,0.0,2007,20,PER,-0.2375037,PER_20
15.27,0.0,2007,21,PER,-0.3994101,PER_21
11.98,0.0,2007,22,PER,0.1740777,PER_22
9.87,0.0,2007,24,PER,-0.3147755,PER_24
13.89,0.0,2007,25,PER,0.09732936,PER_25
14.6,0.0,2009,1,PER,0.6550113,PER_1
10.83,0.0,2009,2,PER,0.3739811,PER_2
15.75,0.0,2009,3,PER,-0.5076045,PER_3
12.14,0.0,2009,4,PER,-0.3657429,PER_4
12.7,0.0,2009,5,PER,-0.4283661,PER_5
8.55,0.0,2009,6,PER,0.7247445,PER_6
14.59,0.0,2009,8,PER,-0.3982188,PER_8
10.29,0.0,2009,9,PER,-0.4318576,PER_9
8.04,0.0,2009,10,PER,-0.07963422,PER_10
11.02,0.0,2009,11,PER,-0.2904485,PER_11
14.05,0.0,2009,12,PER,-0.2999927,PER_12
4.27,0.0,2009,13,PER,0.5809008,PER_13
8.84,0.0,2009,14,PER,0.7663967,PER_14
8.29,0.0,2009,15,PER,-0.3667614,PER_15
13.14,0.0,2009,16,PER,0.06085969,PER_16
16.54,0.0,2009,17,PER,0.2304657,PER_17
14.93,0.0,2009,18,PER,-0.4178939,PER_18
11.17,0.0,2009,19,PER,-0.2568827,PER_19
7.1,0.0,2009,20,PER,0.613846,PER_20
11.65,0.0,2009,21,PER,-0.3736725,PER_21
14.35,0.0,2009,22,PER,0.1626733,PER_22
13.42,0.0,2009,23,PER,-0.4944853,PER_23
10.31,0.0,2009,24,PER,0.3704873,PER_24
12.2,0.0,2009,25,PER,-0.04745139,PER_25
10.21,0.0,2010,1,PER,0.2501121,PER_1
9.38,0.0,2010,2,PER,-0.4950183,PER_2
