dv,heat,year,region,country,rain,DM_urban_p,ED_educ_years_mean,ED_litt_p,EI_internet_week_p,EI_news_week_p,EI_radio_week_p,EI_tv_week_p,DP_decide_money_p,DP_earn_more_equal_p,WK_working_paid_p,DP_owns_house_p,DP_owns_land_p,DP_decide_health_p,DP_decide_large_purchase_p,DP_decide_visits_p,DP_decide_contraception_p,DP_decide_no_contraception_p,DV_phys_partner_12m_p,DV_phys_12m_p,WL_wealth_median,DM_age_diff_mean,DM_age_diff_10plus_p,EI_women_elec_p,region_id
22.69,0.583333333333333,2010,1,COL,-0.302462814206977,75.76,9.01,100.0,,,,,78.68,26.68,85.83,,,70.36,29.52,69.5,,,28.63,22.69,62.69,4.67,22.03,96.63,COL_1
29.22,0.25,2010,2,COL,-0.366761013701876,70.34,8.73,100.0,,,,,79.35,26.83,90.38,,,78.04,19.97,71.25,,,38.62,29.22,66.22,4.43,23.72,98.02,COL_2
27.0,0.416666666666667,2010,3,COL,-0.131149167721042,75.99,8.95,100.0,,,,,83.7,27.51,91.07,,,77.9,20.06,73.13,,,37.27,27.0,70.62,4.54,21.91,98.15,COL_3
29.47,0.416666666666667,2010,4,COL,0.0109376952403863,73.2,8.94,100.0,,,,,77.67,26.93,88.99,,,73.06,25.09,74.87,,,40.42,29.47,67.57,4.28,21.66,97.2,COL_4
27.22,0.25,2010,5,COL,0.133293725615622,100.0,10.84,100.0,,,,,75.03,34.45,93.34,,,82.82,24.22,59.12,,,38.76,27.22,74.7,3.51,15.0,99.54,COL_5
30.72,0.666666666666667,2010,6,COL,-0.363508812914906,68.72,8.14,100.0,,,,,75.42,30.08,87.21,,,67.81,20.67,67.76,,,37.84,30.72,58.95,4.58,28.74,94.37,COL_6
20.39,0.25,2015,1,COL,-0.591560085450909,77.01,9.71,100.0,,,,,65.61,32.87,92.43,28.02,10.26,73.06,27.9,60.75,21.39,,28.31,20.39,64.54,,,95.81,COL_1
23.03,0.5,2015,2,COL,-0.58866044120443,73.79,9.97,100.0,,,,,61.81,28.84,88.72,25.62,14.13,71.66,20.09,63.31,24.29,,33.83,23.03,70.64,,,98.63,COL_2
20.39,0.416666666666667,2015,3,COL,-0.583342192488002,77.64,9.86,100.0,,,,,72.6,31.35,93.06,25.84,9.18,75.24,21.89,65.22,28.03,,30.67,20.39,72.26,,,98.9,COL_3
24.84,0.25,2015,4,COL,-0.424166206190748,72.4,9.67,100.0,,,,,71.42,31.54,92.1,28.15,14.74,72.97,20.83,67.93,31.58,,36.18,24.84,70.62,,,97.43,COL_4
22.59,0.25,2015,5,COL,-0.356643306753633,99.82,11.35,100.0,,,,,64.65,36.79,95.05,24.63,5.87,73.97,23.04,67.05,28.52,,33.97,22.59,77.76,,,99.88,COL_5
